display_order,approach,user_answers,json_logic,cam_arrange_id,cam_spacing_id,num_cams_id,camdays_per_loc_id,cam_days_ttl_id,survey_duration_id,cam_arrange,cam_spacing,num_cams,camdays_per_loc,cam_days_ttl,survey_duration
51,mod_rai,invalid,"{
    ""approach"": [
        ""mod_rai""
    ],
    ""user_entry"": [
        ""analysis""
    ],
    ""num_cams_avail"": [
        20
    ],
    ""num_det"": [
        10, 20
    ],
    ""sp_type"": [
        ""carnivore"", ""ungulate""
    ],
    ""sp_dense_low"": [
        ""TRUE""
    ],
    ""sp_rarity"": [
        ""rare"", ""very rare"", ""common""
    ]
}","mod_rai_cam_arrange_1,mod_rai_cam_arrange_2","mod_rai_cam_spacing_1,mod_rai_cam_spacing_2,mod_rai_cam_spacing_3","mod_rai_num_cams_1,mod_rai_num_cams_3,mod_rai_num_cams_4","mod_rai_camdays_per_loc_1,mod_rai_camdays_per_loc_2,mod_rai_camdays_per_loc_3",mod_rai_cam_days_ttl_1,"mod_rai_survey_duration_1,mod_rai_survey_duration_2","Ideally random,Systematic random","<b>No minimum</b>,Ideally ≥ 1 km,Ideally 1-2 km","As many as possible,Ideally ≥ 50,≥ 20 per stratum","<b>No minimum</b>,Ideally ≥ 30,As many as possible",Ideally > 2000,"<b>No maximum</b>,Ideally < 12 months"
57,mod_rai,num_cams_avail,,,,mod_rai_num_cams_2,,,,,,<b>≥ 20 (minumum)</b>,,,
64,mod_rai,user_entry_num_det10,,,,,,mod_rai_cam_days_ttl_2,,,,,,Enough for > 10 detections,
65,mod_rai,user_entry_num_det20,,,,,,mod_rai_cam_days_ttl_3,,,,,,Ideally > 20 detections,
66,mod_rai,sp_type_sp_dens_low_sp_rarity,,,,,,mod_rai_cam_days_ttl_4,,,,,,> 2000,
67,mod_rai,sp_rarity_common,,,,,,mod_rai_cam_days_ttl_5,,,,,,> 250,
68,mod_rai,sp_rarity_very_rare,,,,,,mod_rai_cam_days_ttl_6,,,,,,"> 20,000",
305,mod_behaviour,invalid,"{
    ""approach"": [
        ""mod_behaviour""
    ],
    ""data_hr"": [
        ""TRUE"",
        ""FALSE""
    ],
    ""cam_arrange"": [
        ""Stratified"",
        ""Stratified random"",
        ""Stratified targeted""
    ],
    ""cam_strat_covar_num"": [
        0
    ]
}","mod_behaviour_cam_arrange_1,mod_behaviour_cam_arrange_2,mod_behaviour_cam_arrange_3",mod_behaviour_cam_spacing_1,mod_behaviour_num_cams_1,mod_behaviour_camdays_per_loc_1,mod_behaviour_cam_days_ttl_1,mod_behaviour_survey_duration_1,"Ideally random,Stratified,Targeted",Objective-dependent,Activity patterns: Enough to obtain > 100 detections,No recommendation,No recommendation,Dependent on behavioural metric (e.g. if it occurs during a certain period)
309,mod_behaviour,data_hr_true,,,,,,,,,Ideally independant (> home range diameter),,,,
310,mod_behaviour,data_hr_false,,,,,,,,,Ideally independant (> 1 km),,,,
312,mod_behaviour,cam_arrange_ cam_strat_covar_num,,,,,,,,,,≥ 20 per stratum,,,
